prompt,model,temperature,top_p,lexical_diversity,query_coverage,flesch_kincaid_grade,repetition_penalty
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.5,0.2,83.2,65.45,6.93,19.87
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.5,0.4,86.77,62.81,7.27,13.29
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.5,0.6,90.29,63.5,6.59,12.1
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.5,0.8,92.08,60.78,6.99,7.09
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.5,1.0,92.78,59.52,6.91,6.37
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.7,0.2,86.83,59.89,6.17,14.19
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.7,0.4,91.26,60.8,6.85,14.34
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.7,0.6,92.18,58.76,6.61,12.02
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.7,0.8,96.71,56.58,7.37,5.92
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.7,1.0,99.5,58.41,6.73,1.64
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.9,0.2,90.72,57.51,7.0,15.02
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.9,0.4,93.13,59.09,6.83,9.21
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.9,0.6,96.43,58.33,6.7,7.82
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.9,0.8,99.34,56.89,7.83,3.71
"Identify which instrument is string or percussion: Cantaro, Gudok",gemini-2.0-flash-lite,0.9,1.0,100.0,55.07,7.67,0.61
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.1,0.2,55.58,0.64,6.84,19.0
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.1,0.4,57.25,1.79,7.7,19.67
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.1,0.6,61.51,0.0,7.32,17.03
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.1,0.8,64.77,0.69,7.74,10.11
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.1,1.0,64.67,0.0,7.33,9.73
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.3,0.2,60.23,1.4,7.09,19.85
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.3,0.4,63.56,1.66,7.48,18.41
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.3,0.6,64.57,0.0,7.17,10.82
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.3,0.8,66.92,1.69,7.97,7.15
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.3,1.0,69.24,0.0,7.35,7.64
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.5,0.2,64.08,1.49,7.1,18.57
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.5,0.4,66.57,0.24,7.53,16.22
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.5,0.6,67.0,1.83,7.05,13.62
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.5,0.8,71.52,0.0,8.3,7.87
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.5,1.0,70.64,0.42,7.43,7.49
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.7,0.2,67.21,1.1,7.48,15.6
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.7,0.4,68.44,0.0,7.72,12.38
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.7,0.6,69.4,1.93,7.74,11.44
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.7,0.8,74.66,0.0,7.75,6.78
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.7,1.0,73.89,0.0,7.64,6.01
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.9,0.2,70.65,0.0,7.36,12.78
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.9,0.4,71.86,1.33,7.85,11.73
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.9,0.6,75.08,0.0,8.32,10.6
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.9,0.8,76.9,0.0,7.61,6.57
Give me the top 5 golf equipment company names.,gemini-2.0-flash-lite,0.9,1.0,77.01,0.88,8.07,4.3
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.1,0.2,85.67,32.28,4.04,17.4
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.1,0.4,89.89,32.92,5.05,18.79
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.1,0.6,91.15,31.94,4.81,15.44
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.1,0.8,92.54,30.02,5.27,11.91
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.1,1.0,98.17,29.89,5.69,8.13
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.3,0.2,88.53,30.78,4.47,18.78
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.3,0.4,92.6,31.91,4.76,17.48
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.3,0.6,97.2,30.65,6.13,10.24
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.3,0.8,97.89,27.45,5.56,9.76
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.3,1.0,100.0,27.35,6.11,5.84
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.5,0.2,95.12,29.69,6.14,15.36
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.5,0.4,99.24,30.25,6.04,16.15
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.5,0.6,100.0,26.66,6.01,11.32
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.5,0.8,100.0,25.75,6.06,8.0
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.5,1.0,100.0,28.28,6.84,7.15
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.7,0.2,98.88,28.4,5.52,13.67
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.7,0.4,100.0,29.26,6.34,9.68
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.7,0.6,100.0,28.84,7.16,9.78
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.7,0.8,100.0,28.29,6.77,9.17
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.7,1.0,100.0,27.01,7.57,2.79
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.9,0.2,100.0,25.79,6.29,15.81
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.9,0.4,100.0,28.16,6.71,12.33
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.9,0.6,100.0,27.95,7.5,7.8
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.9,0.8,100.0,23.64,7.48,6.83
What individual has won the most Olympic gold medals in the history of the games?,gemini-2.0-flash-lite,0.9,1.0,100.0,25.93,8.43,1.18
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.1,0.2,86.59,0.0,7.67,23.16
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.1,0.4,88.46,0.0,8.55,16.79
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.1,0.6,92.22,0.64,7.61,14.91
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.1,0.8,95.69,0.85,7.69,9.13
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.1,1.0,98.35,0.54,8.56,7.1
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.3,0.2,88.93,0.0,7.88,17.76
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.3,0.4,92.58,0.0,7.81,15.29
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.3,0.6,96.72,0.0,7.71,11.72
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.3,0.8,97.87,0.39,8.15,8.91
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.3,1.0,100.0,0.0,7.94,9.01
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.5,0.2,97.12,1.91,8.36,15.02
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.5,0.4,98.02,0.0,8.12,13.96
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.5,0.6,99.75,0.0,8.35,10.91
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.5,0.8,100.0,0.0,8.22,8.75
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.5,1.0,100.0,0.0,8.14,3.83
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.7,0.2,100.0,0.0,8.59,17.22
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.7,0.4,100.0,0.0,8.9,14.56
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.7,0.6,100.0,0.0,8.39,12.08
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.7,0.8,100.0,0.0,9.25,9.21
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.7,1.0,100.0,0.78,8.77,3.86
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.9,0.2,100.0,0.0,8.99,13.16
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.9,0.4,100.0,0.26,8.8,11.07
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.9,0.6,100.0,0.2,9.32,7.57
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.9,0.8,100.0,0.0,8.61,5.96
Which Dutch artist painted “Girl with a Pearl Earring”?,gemini-2.0-flash-lite,0.9,1.0,100.0,1.18,8.84,1.8
What happens when the sun goes down?,gemini-2.0-flash-lite,0.1,0.2,76.53,26.72,4.76,21.49
What happens when the sun goes down?,gemini-2.0-flash-lite,0.1,0.4,79.82,25.55,5.44,17.08
What happens when the sun goes down?,gemini-2.0-flash-lite,0.1,0.6,80.94,26.78,5.64,15.35
What happens when the sun goes down?,gemini-2.0-flash-lite,0.1,0.8,84.18,27.41,5.25,13.57
What happens when the sun goes down?,gemini-2.0-flash-lite,0.1,1.0,86.82,26.3,5.21,9.81
What happens when the sun goes down?,gemini-2.0-flash-lite,0.3,0.2,81.08,26.17,5.23,15.87
What happens when the sun goes down?,gemini-2.0-flash-lite,0.3,0.4,85.05,26.96,5.22,17.12
What happens when the sun goes down?,gemini-2.0-flash-lite,0.3,0.6,87.64,25.47,5.05,11.15
What happens when the sun goes down?,gemini-2.0-flash-lite,0.3,0.8,88.49,25.33,6.03,10.05
What happens when the sun goes down?,gemini-2.0-flash-lite,0.3,1.0,90.9,24.31,6.56,7.13
What happens when the sun goes down?,gemini-2.0-flash-lite,0.5,0.2,84.89,25.13,4.98,14.63
What happens when the sun goes down?,gemini-2.0-flash-lite,0.5,0.4,87.22,27.1,5.39,16.64
What happens when the sun goes down?,gemini-2.0-flash-lite,0.5,0.6,88.79,24.0,6.1,9.24
What happens when the sun goes down?,gemini-2.0-flash-lite,0.5,0.8,92.82,24.15,6.38,9.18
What happens when the sun goes down?,gemini-2.0-flash-lite,0.5,1.0,94.83,22.95,7.14,2.69
What happens when the sun goes down?,gemini-2.0-flash-lite,0.7,0.2,90.73,25.34,6.28,13.39
What happens when the sun goes down?,gemini-2.0-flash-lite,0.7,0.4,93.94,23.23,5.98,10.36
What happens when the sun goes down?,gemini-2.0-flash-lite,0.7,0.6,94.91,25.58,6.36,8.83
What happens when the sun goes down?,gemini-2.0-flash-lite,0.7,0.8,96.07,23.81,6.92,3.58
What happens when the sun goes down?,gemini-2.0-flash-lite,0.7,1.0,100.0,21.54,7.43,2.73
What happens when the sun goes down?,gemini-2.0-flash-lite,0.9,0.2,94.6,22.57,6.9,15.65
What happens when the sun goes down?,gemini-2.0-flash-lite,0.9,0.4,94.7,21.66,7.36,8.92
What happens when the sun goes down?,gemini-2.0-flash-lite,0.9,0.6,98.42,22.58,6.95,9.98
What happens when the sun goes down?,gemini-2.0-flash-lite,0.9,0.8,100.0,22.81,7.67,5.47
What happens when the sun goes down?,gemini-2.0-flash-lite,0.9,1.0,100.0,21.14,8.3,2.5
What is a verb?,gemini-2.0-flash-lite,0.1,0.2,55.93,56.32,7.44,20.89
What is a verb?,gemini-2.0-flash-lite,0.1,0.4,54.93,53.04,7.31,16.03
What is a verb?,gemini-2.0-flash-lite,0.1,0.6,57.25,54.27,7.86,13.71
What is a verb?,gemini-2.0-flash-lite,0.1,0.8,58.98,52.03,7.55,12.01
What is a verb?,gemini-2.0-flash-lite,0.1,1.0,63.12,52.08,8.61,8.53
What is a verb?,gemini-2.0-flash-lite,0.3,0.2,57.83,52.06,7.62,18.31
What is a verb?,gemini-2.0-flash-lite,0.3,0.4,58.01,51.94,7.34,13.42
What is a verb?,gemini-2.0-flash-lite,0.3,0.6,62.97,53.36,8.01,12.57
What is a verb?,gemini-2.0-flash-lite,0.3,0.8,64.37,50.16,8.5,9.53
What is a verb?,gemini-2.0-flash-lite,0.3,1.0,63.88,47.62,8.48,5.35
What is a verb?,gemini-2.0-flash-lite,0.5,0.2,60.17,51.65,7.61,16.74
What is a verb?,gemini-2.0-flash-lite,0.5,0.4,63.96,51.56,8.15,11.68
What is a verb?,gemini-2.0-flash-lite,0.5,0.6,63.37,50.6,8.56,10.2
What is a verb?,gemini-2.0-flash-lite,0.5,0.8,68.12,46.67,8.51,8.28
What is a verb?,gemini-2.0-flash-lite,0.5,1.0,70.71,45.91,8.73,6.51
What is a verb?,gemini-2.0-flash-lite,0.7,0.2,63.46,51.5,8.11,14.49
What is a verb?,gemini-2.0-flash-lite,0.7,0.4,67.46,48.26,8.84,14.05
What is a verb?,gemini-2.0-flash-lite,0.7,0.6,67.05,48.74,8.44,8.5
What is a verb?,gemini-2.0-flash-lite,0.7,0.8,70.87,47.03,8.01,4.24
What is a verb?,gemini-2.0-flash-lite,0.7,1.0,70.77,44.33,7.97,2.5
What is a verb?,gemini-2.0-flash-lite,0.9,0.2,66.59,47.66,8.12,15.02
What is a verb?,gemini-2.0-flash-lite,0.9,0.4,68.54,45.57,8.84,13.71
What is a verb?,gemini-2.0-flash-lite,0.9,0.6,72.02,43.88,9.05,9.51
What is a verb?,gemini-2.0-flash-lite,0.9,0.8,74.9,46.47,9.02,2.56
What is a verb?,gemini-2.0-flash-lite,0.9,1.0,76.61,42.5,8.91,3.77
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.1,0.2,50.64,46.96,13.87,20.66
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.1,0.4,50.4,45.08,13.97,18.0
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.1,0.6,54.59,42.96,14.19,15.34
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.1,0.8,56.56,43.23,14.86,15.63
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.1,1.0,54.56,44.02,14.75,18.06
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.3,0.2,52.32,45.24,14.01,15.98
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.3,0.4,54.37,42.62,14.24,14.94
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.3,0.6,55.04,44.23,14.27,17.14
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.3,0.8,57.97,42.03,14.43,17.77
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.3,1.0,57.64,39.65,15.1,16.43
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.5,0.2,53.89,44.35,14.4,14.0
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.5,0.4,58.96,40.9,14.84,14.46
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.5,0.6,59.47,39.89,15.28,15.31
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.5,0.8,61.23,39.42,14.76,19.09
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.5,1.0,61.01,39.17,14.82,17.87
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.7,0.2,57.23,41.88,15.01,13.68
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.7,0.4,59.94,38.95,14.58,17.75
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.7,0.6,59.81,40.37,15.44,19.6
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.7,0.8,63.2,37.28,14.69,15.97
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.7,1.0,66.17,36.33,15.13,18.96
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.9,0.2,59.74,40.68,15.36,14.47
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.9,0.4,64.9,37.32,15.24,13.72
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.9,0.6,65.27,37.68,15.62,17.44
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.9,0.8,65.02,36.73,15.72,18.83
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,gemini-2.0-flash-lite,0.9,1.0,66.5,34.65,15.95,17.21
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.1,0.2,74.98,47.56,7.71,18.04
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.1,0.4,77.2,43.22,8.08,17.8
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.1,0.6,81.17,45.18,8.32,16.29
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.1,0.8,84.02,42.45,8.2,11.26
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.1,1.0,87.03,41.6,7.73,10.59
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.3,0.2,81.68,44.04,7.63,18.6
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.3,0.4,82.88,43.35,8.75,18.52
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.3,0.6,86.89,40.94,8.7,13.01
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.3,0.8,87.26,42.32,8.66,12.33
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.3,1.0,91.53,38.83,7.91,5.17
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.5,0.2,82.43,40.66,8.61,17.04
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.5,0.4,87.43,41.6,8.25,15.21
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.5,0.6,87.89,40.91,8.57,9.66
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.5,0.8,91.45,39.99,8.16,9.85
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.5,1.0,95.0,38.68,8.76,7.01
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.7,0.2,89.41,39.03,8.67,16.78
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.7,0.4,92.71,38.18,8.02,12.01
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.7,0.6,93.79,39.56,8.37,10.85
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.7,0.8,97.59,36.78,8.93,7.61
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.7,1.0,97.93,39.29,8.8,5.1
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.9,0.2,93.98,37.79,8.15,15.49
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.9,0.4,94.82,39.84,9.01,7.98
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.9,0.6,99.62,36.56,8.24,9.07
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.9,0.8,100.0,34.96,8.8,3.96
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",gemini-2.0-flash-lite,0.9,1.0,100.0,36.09,8.78,0.33
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.1,0.2,73.22,69.67,5.21,18.57
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.1,0.4,77.47,66.3,5.43,15.67
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.1,0.6,79.95,66.41,4.71,16.79
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.1,0.8,84.12,65.84,5.92,12.64
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.1,1.0,84.99,63.66,5.61,9.52
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.3,0.2,78.27,65.19,4.9,18.61
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.3,0.4,83.42,64.34,5.71,18.49
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.3,0.6,86.25,62.65,5.59,11.29
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.3,0.8,88.44,62.43,5.99,6.65
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.3,1.0,88.49,62.13,6.0,7.34
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.5,0.2,83.42,64.74,5.55,18.64
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.5,0.4,84.97,64.73,6.16,12.47
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.5,0.6,86.84,61.52,5.83,10.08
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.5,0.8,92.8,62.13,7.0,5.01
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.5,1.0,94.69,60.77,7.04,2.62
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.7,0.2,88.06,60.83,6.06,12.76
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.7,0.4,92.55,61.47,5.89,14.93
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.7,0.6,94.78,59.45,6.92,8.63
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.7,0.8,97.71,56.46,6.51,4.2
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.7,1.0,99.72,55.17,7.4,3.01
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.9,0.2,94.17,58.32,6.31,12.69
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.9,0.4,96.14,58.93,7.2,9.71
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.9,0.6,96.65,55.17,6.87,9.48
"Identify which instrument is string or woodwind: Panduri, Zurna",gemini-2.0-flash-lite,0.9,0.8,100.0,54.25,7.15,4.6
